ISO code,Country,Variable code,Variable name,1990,2019
ABW,Aruba,pop,Population (in millions),0.062149,0.106314
ABW,Aruba,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),2575.25561523438,3921.26123046875
AGO,Angola,pop,Population (in millions),11.848386,31.825295
AGO,Angola,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),36310.5546875,228151.015625
AIA,Anguilla,pop,Population (in millions),0.008899,0.014869
AIA,Anguilla,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),206.072937011719,376.634979248047
ALB,Albania,pop,Population (in millions),3.286073,2.880917
ALB,Albania,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),12005.7568359375,35890.01953125
ARE,United Arab Emirates,pop,Population (in millions),1.828432,9.770529
ARE,United Arab Emirates,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),226935.609375,681525.8125
ARG,Argentina,pop,Population (in millions),32.618651,44.780677
ARG,Argentina,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),196718.6875,991646.3125
ARM,Armenia,pop,Population (in millions),3.538171,2.957731
ARM,Armenia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),23707.373046875,41048.62890625
ATG,Antigua and Barbuda,pop,Population (in millions),0.062528,0.097118
ATG,Antigua and Barbuda,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),845.257568359375,1986.16320800781
AUS,Australia,pop,Population (in millions),16.960597,25.203198
AUS,Australia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),491977.8125,1280843.25
AUT,Austria,pop,Population (in millions),7.723949,8.955102
AUT,Austria,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),208007.234375,498022.25
AZE,Azerbaijan,pop,Population (in millions),7.242761,10.047718
AZE,Azerbaijan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),57294.9296875,162126.1875
BDI,Burundi,pop,Population (in millions),5.438957,11.53058
BDI,Burundi,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),4961.1484375,8664.98828125
BEL,Belgium,pop,Population (in millions),10.006544,11.539328
BEL,Belgium,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),272013.5625,589449.125
BEN,Benin,pop,Population (in millions),4.978496,11.801151
BEN,Benin,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),6388.1083984375,36740.7421875
BFA,Burkina Faso,pop,Population (in millions),8.811034,20.321378
BFA,Burkina Faso,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),9579.7763671875,43608.875
BGD,Bangladesh,pop,Population (in millions),103.171956,163.046161
BGD,Bangladesh,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),152607.46875,756355.5625
BGR,Bulgaria,pop,Population (in millions),8.841458,7.000119
BGR,Bulgaria,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),104736.34375,159419.96875
BHR,Bahrain,pop,Population (in millions),0.495931,1.641172
BHR,Bahrain,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),8248.1201171875,74097.2265625
BHS,Bahamas,pop,Population (in millions),0.256223,0.389482
BHS,Bahamas,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),7824.521484375,14412.818359375
BIH,Bosnia and Herzegovina,pop,Population (in millions),4.463423,3.301
BIH,Bosnia and Herzegovina,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),6946.330078125,46953.84375
BLR,Belarus,pop,Population (in millions),10.151134,9.452411
BLR,Belarus,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),151189.703125,201465.015625
BLZ,Belize,pop,Population (in millions),0.187552,0.390353
BLZ,Belize,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1360.08422851563,2680.84936523438
BMU,Bermuda,pop,Population (in millions),0.061634,0.062506
BMU,Bermuda,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1956.00305175781,4998.4541015625
BOL,Bolivia (Plurinational State of),pop,Population (in millions),6.864842,11.5131
BOL,Bolivia (Plurinational State of),rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),16286.1435546875,99341.8359375
BRA,Brazil,pop,Population (in millions),149.003223,211.049527
BRA,Brazil,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),947247.75,3089273.5
BRB,Barbados,pop,Population (in millions),0.260936,0.287025
BRB,Barbados,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),4099.8515625,4848.38720703125
BRN,Brunei Darussalam,pop,Population (in millions),0.258721,0.433285
BRN,Brunei Darussalam,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),15308.8740234375,29270.73828125
BTN,Bhutan,pop,Population (in millions),0.530804,0.763092
BTN,Bhutan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1478.158203125,8528.7119140625
BWA,Botswana,pop,Population (in millions),1.286756,2.303697
BWA,Botswana,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),9494.908203125,39315.9375
CAF,Central African Republic,pop,Population (in millions),2.806734,4.745185
CAF,Central African Republic,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),3352.39135742188,4532.56103515625
CAN,Canada,pop,Population (in millions),27.541319,37.411047
CAN,Canada,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),915724.6875,1846581.125
CHE,Switzerland,pop,Population (in millions),6.652868,8.591365
CHE,Switzerland,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),283661.96875,617131.8125
CHL,Chile,pop,Population (in millions),13.274623,18.952038
CHL,Chile,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),109067.2890625,447186.625
CHN,China,pop,Population (in millions),1176.883674,1433.783686
CHN,China,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),2916157.25,20056066
CIV,Côte d'Ivoire,pop,Population (in millions),11.924877,25.716544
CIV,Côte d'Ivoire,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),30256.62890625,131363.734375
CMR,Cameroon,pop,Population (in millions),11.780088,25.87638
CMR,Cameroon,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),30730.373046875,92642.1484375
COD,D.R. of the Congo,pop,Population (in millions),34.612023,86.790567
COD,D.R. of the Congo,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),52290.1328125,89061.671875
COG,Congo,pop,Population (in millions),2.356737,5.380508
COG,Congo,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),5861.4130859375,24154.6328125
COL,Colombia,pop,Population (in millions),33.102575,50.339443
COL,Colombia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),251152.875,695683.625
COM,Comoros,pop,Population (in millions),0.411594,0.850886
COM,Comoros,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1545.77758789063,2659.69140625
CPV,Cabo Verde,pop,Population (in millions),0.33795,0.549935
CPV,Cabo Verde,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),752.55810546875,3953.55322265625
CRI,Costa Rica,pop,Population (in millions),3.119433,5.047561
CRI,Costa Rica,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),24934.06640625,97161.359375
CUW,Curaçao,pop,Population (in millions),,0.163424
CUW,Curaçao,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),,3706.66967773438
CYM,Cayman Islands,pop,Population (in millions),0.025312,0.064948
CYM,Cayman Islands,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1971.146484375,4559.8916015625
CYP,Cyprus,pop,Population (in millions),0.5794,0.868495
CYP,Cyprus,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),12912.2578125,33665.640625
CZE,Czech Republic,pop,Population (in millions),10.340875,10.689209
CZE,Czech Republic,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),251818.84375,435390.09375
DEU,Germany,pop,Population (in millions),79.053984,83.517045
DEU,Germany,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),2204488.5,4308861.5
DJI,Djibouti,pop,Population (in millions),0.590398,0.97356
DJI,Djibouti,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1402.55310058594,6934.76806640625
DMA,Dominica,pop,Population (in millions),0.070419,0.071808
DMA,Dominica,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),575.303344726563,840.083312988281
DNK,Denmark,pop,Population (in millions),5.141115,5.771876
DNK,Denmark,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),144018.203125,322637.5
DOM,Dominican Republic,pop,Population (in millions),7.133494,10.738958
DOM,Dominican Republic,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),35340.875,190792.65625
DZA,Algeria,pop,Population (in millions),25.758869,43.053054
DZA,Algeria,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),243852.09375,488952.375
ECU,Ecuador,pop,Population (in millions),10.230934,17.373662
ECU,Ecuador,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),63796.41796875,195248.40625
EGY,Egypt,pop,Population (in millions),56.134475,100.388073
EGY,Egypt,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),125608.4140625,1101849.125
ESP,Spain,pop,Population (in millions),39.202525,46.736776
ESP,Spain,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),743109,1932678.625
EST,Estonia,pop,Population (in millions),1.565246,1.325648
EST,Estonia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),17759.97265625,49209.03125
ETH,Ethiopia,pop,Population (in millions),47.887865,112.07873
ETH,Ethiopia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),37355.83984375,286037.65625
FIN,Finland,pop,Population (in millions),4.996222,5.532156
FIN,Finland,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),136194.359375,261017.34375
FJI,Fiji,pop,Population (in millions),0.728573,0.889953
FJI,Fiji,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),4506.88916015625,12235.4638671875
FRA,France,pop,Population (in millions),58.235697,67.351247
FRA,France,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1581529.625,3018884.75
GAB,Gabon,pop,Population (in millions),0.949488,2.172579
GAB,Gabon,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),9089.8447265625,33368.84375
GBR,United Kingdom,pop,Population (in millions),57.134391,67.530172
GBR,United Kingdom,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1439709.75,3118991.25
GEO,Georgia,pop,Population (in millions),5.410399,3.996765
GEO,Georgia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),64985.51953125,59386.25390625
GHA,Ghana,pop,Population (in millions),14.773277,30.417856
GHA,Ghana,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),43322.83203125,168712.984375
GIN,Guinea,pop,Population (in millions),6.352283,12.771246
GIN,Guinea,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),20216.71484375,29383.0078125
GMB,Gambia,pop,Population (in millions),0.955593,2.347706
GMB,Gambia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),2722.56958007813,5114.54150390625
GNB,Guinea-Bissau,pop,Population (in millions),0.975261,1.920922
GNB,Guinea-Bissau,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1557.1708984375,3262.90356445313
GNQ,Equatorial Guinea,pop,Population (in millions),0.419188,1.355986
GNQ,Equatorial Guinea,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),882.813171386719,30121.935546875
GRC,Greece,pop,Population (in millions),10.225992,10.473455
GRC,Greece,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),181332.359375,302222.28125
GRD,Grenada,pop,Population (in millions),0.096331,0.112003
GRD,Grenada,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),485.606048583984,1803.38647460938
GTM,Guatemala,pop,Population (in millions),9.263813,17.581472
GTM,Guatemala,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),35274.8828125,139241.078125
GUY,Guyana,pop,Population (in millions),0.743309,0.782766
GUY,Guyana,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),2135.50244140625,10438.4931640625
HKG,"China, Hong Kong SAR",pop,Population (in millions),5.727938,7.436154
HKG,"China, Hong Kong SAR",rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),151044.28125,440554.28125
HND,Honduras,pop,Population (in millions),4.955303,9.746117
HND,Honduras,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),15024.595703125,51615.92578125
HRV,Croatia,pop,Population (in millions),4.776374,4.130304
HRV,Croatia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),64448.71484375,113633.0078125
HTI,Haiti,pop,Population (in millions),7.037917,11.263077
HTI,Haiti,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),9455.26953125,17242.24609375
HUN,Hungary,pop,Population (in millions),10.377137,9.684679
HUN,Hungary,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),143548.421875,322164.71875
IDN,Indonesia,pop,Population (in millions),182.151216,270.625568
IDN,Indonesia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),629466.625,3104438.75
IND,India,pop,Population (in millions),873.277798,1366.417754
IND,India,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1230354,8945547
IRL,Ireland,pop,Population (in millions),3.510885,4.882495
IRL,Ireland,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),68907.8515625,499741.09375
IRN,Iran (Islamic Republic of),pop,Population (in millions),56.366217,82.913906
IRN,Iran (Islamic Republic of),rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),187198.78125,1082891
IRQ,Iraq,pop,Population (in millions),17.419113,39.309783
IRQ,Iraq,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),128514.4140625,451417.125
ISL,Iceland,pop,Population (in millions),0.255043,0.339031
ISL,Iceland,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),8510.248046875,19886.880859375
ISR,Israel,pop,Population (in millions),4.448353,8.519377
ISR,Israel,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),104478.53125,364017.46875
ITA,Italy,pop,Population (in millions),57.048236,60.550075
ITA,Italy,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1560881.5,2508404.5
JAM,Jamaica,pop,Population (in millions),2.419906,2.948279
JAM,Jamaica,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),12548.53515625,26373.171875
JOR,Jordan,pop,Population (in millions),3.56589,10.101694
JOR,Jordan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),12098.421875,102984.8984375
JPN,Japan,pop,Population (in millions),124.50524,126.860301
JPN,Japan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),3552613.25,5028348
KAZ,Kazakhstan,pop,Population (in millions),16.383887,18.551427
KAZ,Kazakhstan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),198424.5625,533491.75
KEN,Kenya,pop,Population (in millions),23.724579,52.573973
KEN,Kenya,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),52272.2109375,217529.4375
KGZ,Kyrgyzstan,pop,Population (in millions),4.372885,6.41585
KGZ,Kyrgyzstan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),36014.51953125,32178.349609375
KHM,Cambodia,pop,Population (in millions),8.975597,16.486542
